QR Code,QR Type,Environment,Status,Created At
EVX26-WB-000138,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.153Z
EVX26-WB-000139,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.169Z
EVX26-WB-000140,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.184Z
EVX26-WB-000141,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.199Z
EVX26-WB-000142,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.219Z
EVX26-WB-000143,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.247Z
EVX26-WB-000144,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.263Z
EVX26-WB-000145,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.276Z
EVX26-WB-000146,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.290Z
EVX26-WB-000147,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.305Z
EVX26-WB-000148,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.318Z
EVX26-WB-000149,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.335Z
EVX26-WB-000150,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.351Z
EVX26-WB-000151,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.367Z
EVX26-WB-000152,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.382Z
EVX26-WB-000153,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.395Z
EVX26-WB-000154,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.409Z
EVX26-WB-000155,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.423Z
EVX26-WB-000156,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.441Z
EVX26-WB-000157,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.457Z
EVX26-WB-000158,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.472Z
EVX26-WB-000159,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.486Z
EVX26-WB-000160,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.501Z
EVX26-WB-000161,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.515Z
EVX26-WB-000162,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.528Z
EVX26-WB-000163,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.542Z
EVX26-WB-000164,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.557Z
EVX26-WB-000165,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.570Z
EVX26-WB-000166,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.583Z
EVX26-WB-000167,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.597Z
EVX26-WB-000168,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.611Z
EVX26-WB-000169,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.626Z
EVX26-WB-000170,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.642Z
EVX26-WB-000171,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.659Z
EVX26-WB-000172,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.677Z
EVX26-WB-000173,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.692Z
EVX26-WB-000174,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.708Z
EVX26-WB-000175,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.724Z
EVX26-WB-000176,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.738Z
EVX26-WB-000177,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.754Z
EVX26-WB-000178,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.772Z
EVX26-WB-000179,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.789Z
EVX26-WB-000180,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.805Z
EVX26-WB-000181,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.819Z
EVX26-WB-000182,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.836Z
EVX26-WB-000183,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.850Z
EVX26-WB-000184,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.866Z
EVX26-WB-000185,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.879Z
EVX26-WB-000186,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.894Z
EVX26-WB-000187,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.908Z
EVX26-WB-000188,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.924Z
EVX26-WB-000189,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.940Z
EVX26-WB-000190,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.954Z
EVX26-WB-000191,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.968Z
EVX26-WB-000192,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.982Z
EVX26-WB-000193,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:09.999Z
EVX26-WB-000194,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.013Z
EVX26-WB-000195,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.027Z
EVX26-WB-000196,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.041Z
EVX26-WB-000197,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.055Z
EVX26-WB-000198,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.069Z
EVX26-WB-000199,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.084Z
EVX26-WB-000200,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.098Z
EVX26-WB-000201,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.117Z
EVX26-WB-000202,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.132Z
EVX26-WB-000203,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.151Z
EVX26-WB-000204,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.170Z
EVX26-WB-000205,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.190Z
EVX26-WB-000206,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.208Z
EVX26-WB-000207,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.227Z
EVX26-WB-000208,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.243Z
EVX26-WB-000209,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.258Z
EVX26-WB-000210,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.272Z
EVX26-WB-000211,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.289Z
EVX26-WB-000212,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.303Z
EVX26-WB-000213,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.318Z
EVX26-WB-000214,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.332Z
EVX26-WB-000215,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.350Z
EVX26-WB-000216,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.365Z
EVX26-WB-000217,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.379Z
EVX26-WB-000218,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.394Z
EVX26-WB-000219,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.409Z
EVX26-WB-000220,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.423Z
EVX26-WB-000221,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.437Z
EVX26-WB-000222,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.454Z
EVX26-WB-000223,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.472Z
EVX26-WB-000224,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.485Z
EVX26-WB-000225,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.499Z
EVX26-WB-000226,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.515Z
EVX26-WB-000227,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.530Z
EVX26-WB-000228,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.544Z
EVX26-WB-000229,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.559Z
EVX26-WB-000230,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.572Z
EVX26-WB-000231,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.586Z
EVX26-WB-000232,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.600Z
EVX26-WB-000233,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.616Z
EVX26-WB-000234,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.630Z
EVX26-WB-000235,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.682Z
EVX26-WB-000236,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.703Z
EVX26-WB-000237,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.726Z
EVX26-WB-000238,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.741Z
EVX26-WB-000239,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.755Z
EVX26-WB-000240,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.769Z
EVX26-WB-000241,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.785Z
EVX26-WB-000242,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.799Z
EVX26-WB-000243,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.813Z
EVX26-WB-000244,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.828Z
EVX26-WB-000245,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.842Z
EVX26-WB-000246,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.857Z
EVX26-WB-000247,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.872Z
EVX26-WB-000248,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.888Z
EVX26-WB-000249,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.905Z
EVX26-WB-000250,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.920Z
EVX26-WB-000251,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.936Z
EVX26-WB-000252,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.951Z
EVX26-WB-000253,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.966Z
EVX26-WB-000254,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.981Z
EVX26-WB-000255,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:10.998Z
EVX26-WB-000256,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:11.014Z
EVX26-WB-000257,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:11.030Z
EVX26-WB-000258,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:11.045Z
EVX26-WB-000259,WRISTBAND,PRODUCTION,UNUSED,2026-08-24T08:14:11.061Z
